100 5 1.23 10
0 2.5 3.7 1.8 2.1
1 4.2 6.9 3.6 1.5
2 1.1 5.5 2.2 4.4
3 2.8 9.1 5.4 2.3
4 3.3 2.2 1.1 6.6
5 6.7 4.4 3.3 2.2
6 8.9 7.1 2.8 9.9
7 5.5 2.2 4.4 1.1
8 3.9 1.2 6.6 7.7
9 2.4 6.6 5.5 3.3
10 7.2 4.8 2.2 9.1
11 3.1 2.1 1.7 5.5
12 5.9 7.7 9.9 4.4
13 4.3 2.9 6.6 3.7
14 9.2 5.1 3.4 1.8
15 2.6 1.7 4.3 6.5
16 4.7 6.3 5.7 2.4
17 7.5 4.9 2.8 8.1
18 3.8 2.5 1.4 5.9
19 8.1 7.4 4.2 3.1
20 5.2 3.9 7.7 1.3
21 1.9 6.6 6.6 9.9
22 6.4 4.7 2.2 6.2
23 2.2 1.5 1.1 3.8
24 4.9 6.6 9.9 5.1
25 7.8 4.1 3.2 1.9
26 3.6 2.3 1.8 5.3
27 9.6 7.2 4.8 2.2
28 5.8 4.2 2.1 8.5
29 2.1 1.4 3.6 4.7
30 5.6 6.7 5.4 2.6
31 8.3 3.8 2.7 9.4
32 4.5 2.6 1.2 6.6
33 9.1 7.9 4.5 3.3
34 6.1 5.2 3.1 1.7
35 2.8 1.9 2.9 5.5
36 5.3 6.4 6.3 2.2
37 7.9 3.6 2.4 8.9
38 3.7 2.4 1.5 5.7
39 9.4 8.1 4.1 3.2
40 6.3 4.5 2.3 1.8
41 2.5 1.6 3.8 4.9
42 5.1 6.1 7.2 2.1
43 8.7 3.4 2.6 8.2
44 4.4 2.8 1.4 6.3
45 9.3 8.3 4.4 3.1
46 6.2 5.3 3.3 1.9
47 2.9 2.1 2.1 5.1
48 5.7 6.6 6.1 2.0
49 8.5 3.7 2.5 8.8
50 4.1 2.9 1.3 6.2
51 9.5 8.5 4.3 3.0
52 6.0 5.1 3.4 1.6
53 3.4 2.2 2.0 4.8
54 5.0 6.2 7.0 1.9
55 8.8 3.5 2.7 8.3
56 4.6 2.7 1.6 6.1
57 9.0 8.7 4.2 2.9
58 6.9 5.0 3.5 1.5
59 3.2 2.0 2.9 4.6
60 4.8 6.0 6.8 1.7
61 8.6 3.3 2.8 8.0
62 4.0 2.5 1.5 6.0
63 8.4 8.9 4.0 2.7
64 6.8 4.8 3.6 1.4
65 3.3 1.8 3.1 4.4
66 4.2 6.9 6.6 1.6
67 8.2 3.2 2.9 7.6
68 3.5 2.3 1.7 5.9
69 7.3 8.3 3.9 2.6
70 6.6 4.4 3.7 1.2
71 3.0 1.7 3.4 4.2
72 3.9 6.8 6.4 1.4
73 8.0 3.1 2.9 7.4
74 3.6 2.4 1.8 5.7
75 7.1 8.1 3.8 2.5
76 6.5 4.2 3.8 1.1
77 2.7 1.5 3.0 4.0
78 3.8 6.7 6.2 1.1
79 7.0 3.0 2.8 7.2
80 3.7 2.5 1.9 5.5
81 6.0 8.4 3.7 2.3
82 6.3 4.0 4.0 1.0
83 2.4 1.4 2.8 3.8
84 3.6 6.5 5.9 1.2
85 7.0 2.9 2.6 7.0
86 3.9 2.6 2.0 5.3
87 5.8 8.2 3.6 2.2
88 6.1 3.8 4.2 0.9
89 2.2 1.3 2.6 3.6
90 3.5 6.3 5.7 1.0
91 6.9 2.8 2.4 6.9
92 3.8 2.7 2.1 5.1
93 5.5 8.1 3.5 2.1
94 5.9 3.6 4.3 0.8
95 2.1 1.2 2.4 3.4
96 3.3 6.2 5.5 0.9
97 6.7 2.7 2.3 6.8
98 3.7 2.9 2.2 4.9
99 5.3 7.9 3.4 2.0
